Platform,System_ID,Latitude,Longitude,Date & Time,Air_Temp,RH,Pressure,Sea_Temp,Gust,Wind_Speed,Wind_Dir,Vis,Sig Height,Period
TH2,62045,49.9079,-2.8948,2026-08-18 11:00:00,18.5,97,10144,17.39,1.11,7.06,252,9812,,
TH2,62047,49.9079,-2.8949,2026-08-18 11:00:00,18.5,96.7,10145,17.39,0.49,4.85,49,9235,,
TH2,62045,49.9078,-2.8949,2026-08-18 10:00:00,18.5,97.9,10144,17.39,0.78,4.66,249.9,8081,,
TH2,62047,49.9078,-2.895,2026-08-18 10:00:00,18.5,97.5,10145,17.39,0.49,4.85,49,7594,,
TH2,62045,49.9077,-2.895,2026-08-18 09:00:00,18.3,98.1,10146,17.46,0.73,4.52,249.3,4887,,
TH2,62047,49.9077,-2.895,2026-08-18 09:00:00,18.3,97.6,10147,17.46,0.49,4.85,49,4051,,
TH2,62045,49.9075,-2.8956,2026-08-18 08:00:00,18.1,97.1,10147,17.47,0.91,6.08,236.6,6780,,
TH2,62047,49.9075,-2.8956,2026-08-18 08:00:00,18.1,96.7,10148,17.47,0.49,4.85,49,4738,,
TH2,62045,49.9073,-2.896,2026-08-18 07:00:00,18.2,96.1,10152,17.46,0.87,6.53,245,2597,,
TH2,62047,49.9073,-2.8961,2026-08-18 07:00:00,18.2,95.7,10154,17.46,0.49,4.85,49,2504,,
TH2,62045,49.9073,-2.8963,2026-08-18 06:00:00,18.4,94.5,10149,17.4,1.03,7.32,256.2,10148,,
TH2,62047,49.9073,-2.8963,2026-08-18 06:00:00,18.4,94.1,10150,17.4,0.49,4.85,49,10041,,
TH2,62045,49.9073,-2.8964,2026-08-18 05:00:00,18.4,93.6,10148,17.36,0.99,6.85,262.6,11458,,
TH2,62047,49.9073,-2.8964,2026-08-18 05:00:00,18.4,93.2,10150,17.36,0.49,4.85,49,11213,,
TH2,62045,49.9074,-2.8964,2026-08-18 04:00:00,18.1,92.5,10154,17.19,0.74,5.3,242.5,15527,,
TH2,62047,49.9074,-2.8964,2026-08-18 04:00:00,18.1,92.4,10155,17.19,0.49,4.85,49,13649,,
TH2,62045,49.9075,-2.8959,2026-08-18 03:00:00,17.9,91,10160,17.12,0.88,7.24,276,19243,,
TH2,62047,49.9075,-2.8959,2026-08-18 03:00:00,17.9,90.7,10162,17.12,0.49,4.85,49,20302,,
TH2,62045,49.9077,-2.8952,2026-08-18 02:00:00,17.7,90,10162,17.11,1.17,7.84,265.8,20571,,
TH2,62047,49.9077,-2.8952,2026-08-18 02:00:00,17.7,89.2,10163,17.11,0.49,4.85,49,21567,,
TH2,62045,49.9077,-2.8951,2026-08-18 01:00:00,17.7,89,10164,17.18,1.12,7.88,265.4,25586,,
TH2,62047,49.9077,-2.8951,2026-08-18 01:00:00,17.7,88.9,10165,17.18,0.49,4.85,49,26810,,
TH2,62045,49.9078,-2.895,2026-08-18 00:00:00,17.8,85.9,10165,17.27,1.26,10.05,278,28718,,
TH2,62047,49.9078,-2.895,2026-08-18 00:00:00,17.8,86,10166,17.26,0.49,4.85,49,33987,,
TH2,62045,49.9079,-2.895,2026-08-17 23:00:00,17.9,87.7,10167,17.48,1.14,8.97,274.1,29277,,
TH2,62047,49.9079,-2.895,2026-08-17 23:00:00,17.9,87.5,10168,17.47,0.49,4.85,49,32093,,
TH2,62045,49.9078,-2.895,2026-08-17 22:00:00,18.2,88.8,10169,17.44,0.96,7.89,267.5,31291,,
TH2,62047,49.9078,-2.895,2026-08-17 22:00:00,18.2,88.6,10170,17.43,0.49,4.85,49,35956,,
TH2,62045,49.9077,-2.8951,2026-08-17 21:00:00,18.3,89.2,10170,17.52,1.06,8.17,263.2,26745,,
TH2,62047,49.9077,-2.8951,2026-08-17 21:00:00,18.3,89.1,10171,17.52,0.49,4.85,49,32538,,
TH2,62045,49.9076,-2.8953,2026-08-17 20:00:00,18.3,96.1,10170,17.57,0.94,7.22,259.3,20404,,
TH2,62047,49.9076,-2.8953,2026-08-17 20:00:00,18.3,95.5,10170,17.57,0.49,4.85,49,21431,,
TH2,62045,49.9074,-2.8958,2026-08-17 19:00:00,18.6,95.3,10170,17.62,1.05,7.85,265.1,17803,,
TH2,62047,49.9074,-2.8958,2026-08-17 19:00:00,18.5,95.1,10170,17.62,0.49,4.85,49,18499,,
TH2,62045,49.9073,-2.8961,2026-08-17 18:00:00,18.7,95.7,10174,17.55,0.83,6.49,252.8,15458,,
TH2,62047,49.9073,-2.8961,2026-08-17 18:00:00,18.8,94.3,10175,17.54,0.49,4.85,49,13074,,
TH2,62045,49.9073,-2.8963,2026-08-17 17:00:00,18.9,94.6,10174,17.57,0.94,6.86,251.7,15041,,
TH2,62047,49.9073,-2.8963,2026-08-17 17:00:00,19.3,92.2,10175,17.58,0.49,4.85,49,16145,,
TH2,62045,49.9074,-2.8963,2026-08-17 16:00:00,18.7,94.9,10178,17.51,0.79,6.41,247.8,15182,,
TH2,62047,49.9074,-2.8963,2026-08-17 16:00:00,19.1,92.4,10179,17.51,0.49,4.85,49,14406,,
TH2,62045,49.9075,-2.8961,2026-08-17 15:00:00,18.7,94.2,10180,17.38,0.87,7.05,244.5,12153,,
TH2,62047,49.9075,-2.8961,2026-08-17 15:00:00,19,92.3,10181,17.38,0.49,4.85,49,12499,,
TH2,62045,49.9077,-2.8954,2026-08-17 14:00:00,18.9,94,10183,17.42,1.07,7.7,257.4,13917,,
TH2,62047,49.9077,-2.8954,2026-08-17 14:00:00,18.8,93.9,10185,17.44,0.49,4.85,49,13957,,
TH2,62045,49.9078,-2.8952,2026-08-17 13:00:00,18.6,94.6,10183,17.34,0.9,6.78,241.7,22753,,
TH2,62047,49.9078,-2.8952,2026-08-17 13:00:00,18.6,94.3,10185,17.34,0.49,4.85,49,24070,,
TH2,62045,49.9078,-2.8951,2026-08-17 12:00:00,18.5,95.4,10184,17.29,0.78,5.87,250.6,30374,,
TH2,62047,49.9078,-2.8951,2026-08-17 12:00:00,18.4,95.1,10185,17.34,0.49,4.85,49,34472,,
TH2,62045,49.9079,-2.895,2026-08-17 11:00:00,18.4,95.6,10183,17.49,0.66,4.36,242.2,21879,,
TH2,62047,49.9079,-2.8951,2026-08-17 11:00:00,18.4,95.3,10184,17.49,0.49,4.85,49,23779,,
TH2,62045,49.9078,-2.895,2026-08-17 10:00:00,18.4,96.4,10181,17.43,0.75,6.27,267.8,23280,,
TH2,62047,49.9078,-2.895,2026-08-17 10:00:00,18.4,96,10182,17.44,0.49,4.85,49,22942,,
