Dual,AWS_ID,Type,Date,Time,Min_Since,Latitude,Longitude,Temperature,Humidity,Pressure,Sea_Temp,Wind_Direction,Wind_Speed,Gust,COG,SOG,Wave_Height,Wave_Period,Visibility
D,62047,3,180526,000,2,499074,-28947,108,715,101376,1238,2670,685,119,0,63,,,18132
D,62047,3,170526,2300,2,499076,-28938,105,775,101357,1237,2777,772,124,0,81,,,13921
D,62045,3,170526,2300,2,499076,-28938,105,750,101349,1237,2731,844,115,0,79,,,6373
D,62045,3,180526,000,2,499074,-28947,108,712,101363,1238,2754,774,109,0,62,,,13315
D,62047,3,180526,200,2,499068,-28963,97,783,101381,1238,2899,813,111,0,83,,,7041
D,62047,3,180526,100,2,499070,-28958,110,722,101367,1240,2863,716,103,0,82,,,19202
D,62045,3,180526,100,2,499070,-28958,110,729,101352,1240,2950,747,96,0,79,,,15560
D,62045,3,180526,200,2,499068,-28963,96,802,101360,1238,2994,814,102,0,81,,,5770
D,62045,3,180526,300,2,499067,-28962,102,769,101277,1237,2333,623,89,0,79,,,28034
D,62047,3,180526,300,2,499067,-28962,101,786,101284,1237,2401,381,68,0,81,,,29288
D,62045,3,180526,400,2,499068,-28960,111,655,101232,1237,2417,634,90,0,120,,,31779
D,62047,3,180526,500,2,499069,-28955,98,834,101252,1238,3021,249,44,0,109,,,31642
D,62045,3,180526,500,2,499069,-28955,98,832,101246,1238,2978,230,47,0,104,,,22173
D,62047,3,180526,400,2,499068,-28960,111,654,101242,1237,2358,542,92,0,122,,,51944
D,62045,3,180526,600,2,499071,-28943,113,707,101217,1236,2713,879,139,0,121,,,21480
D,62047,3,180526,600,2,499071,-28944,112,711,101218,1236,2777,996,125,0,119,,,53702
D,62047,3,180526,700,2,499075,-28936,113,722,101260,1235,2641,625,98,0,98,,,53296
D,62047,3,180526,800,2,499077,-28935,120,665,101260,1238,2313,665,91,0,84,,,56331
D,62045,3,180526,700,2,499075,-28936,114,713,101253,1235,2606,515,103,0,95,,,29721
D,62045,3,180526,800,2,499077,-28935,120,657,101253,1238,2425,357,89,0,80,,,25397
D,62045,3,180526,900,2,499077,-28935,122,730,101271,1240,2201,543,129,0,94,,,14634
